32495428	Tue Oct 23 13:19:26 +0000 2012	en	RT @reedconstrdata:@RSMeansData 2013 Cost Books are available. FREE shipping. Invest in yourself w\/the gift of accuracy http:\/\/t.co\/wYWtIHcD
65375079	Tue Oct 23 13:44:49 +0000 2012	en	Chatting up some good 2013 books with our sales team this morning.
155924477	Tue Oct 23 14:30:39 +0000 2012	en	We're still publishing the same great books - and to prove it, here's the new Bloomsbury History 2013 catalogue http:\/\/t.co\/4i0mRk2i
581141360	Tue Oct 23 14:35:27 +0000 2012	en	lookbookspot: AXDW S\/S 2013 Valtadoros http:\/\/t.co\/NfmDnBEd
317787080	Tue Oct 23 14:55:47 +0000 2012	en	RT @FionaBooks: We're looking for suggestions for the 2013 @harvillsecker Young Translators Prize. We've done Spanish, Arabic and Chines ...
573451829	Tue Oct 23 15:23:58 +0000 2012	en	GARY BARLOW 2013 CALENDAR (Calendar 2013) Danilo (Author) 1,631% Sales Rank in Books: 394 (was 6,822 yesterday) ... http:\/\/t.co\/rfPAZlKq
24717721	Tue Oct 23 16:00:16 +0000 2012	pt	Mundo Crist\u00e3o prepara o lan\u00e7amento de mais 60 e-books para 2013 http:\/\/t.co\/ENRZE9WL \/ #livrosdigitais
21480988	Tue Oct 23 16:34:03 +0000 2012	en	RT @aeroplanegirl: BLOG POST: Some quotes from 'More Weird Things Customers Say in Bookshops' [to be published April 2013] http:\/\/t.co\/8 ...
488582012	Tue Oct 23 17:01:57 +0000 2012	en	Jonathan Bean\u2019s BUILDING OUR HOUSE is one of the books Betsy Bird is most looking forward to in 2013! http:\/\/t.co\/g3ROw8RJ
154583354	Tue Oct 23 17:05:44 +0000 2012	en	QuickBooks Canada #Discount: QuickBooks Canada Pro 2013 with Payroll + Support - Save 30% -... http:\/\/t.co\/P1aiGU3r
497045085	Tue Oct 23 17:13:44 +0000 2012	tr	#5: QuickBooks Accountant 2013: QuickBooks Accountant 2013 by Intuit, Inc. 335% Sales Rank in Software: 324 (was... http:\/\/t.co\/XH9ij8rz
18958606	Tue Oct 23 18:40:20 +0000 2012	en	RT: @BlurbBooks: The iconic Tim Walker has an exhibition at Somerset House until Jan 2013. Worth a trip to London... http:\/\/t.co\/FBgrkQmW
19265093	Tue Oct 23 19:20:52 +0000 2012	en	@meechone I'm home a week maybe and then I gotta go to Dallas.  2013 is even more nuts.  Mexico, Hawaii &amp; Denmark already on the books!
581141360	Tue Oct 23 19:44:30 +0000 2012	en	lookbookspot: AXDW S\/S 2013 Miltos http:\/\/t.co\/ZY9naOgN
28562478	Tue Oct 23 19:52:00 +0000 2012	en	@WeddingsClaire evening missus!  Westpoint dates for 2013 are 12th &amp; 13th Oct. rebooks are going really well, so let me know! x
402922358	Tue Oct 23 20:09:24 +0000 2012	en	Magical Misfire...the first in my Magic series will be released with Torrid Books in Feb 2013!
296707652	Tue Oct 23 21:09:47 +0000 2012	en	Exciting! Finally arrived, proof copies of THE GIRL BELOW by @BiancaZander out Feb 2013 in the UK via @almabooks http:\/\/t.co\/aNEIVjET
19681533	Tue Oct 23 21:40:59 +0000 2012	en	@RPJohnston no laptops purchased 2013,  Ultabooks  and ultralightoutperform most laptops.
26900718	Tue Oct 23 22:43:45 +0000 2012	en	The 2013 Handbooks will be available soon.
